Frequency Log(Hz), Gain(dB), Phase(deg)
1.45482155666326,-6.16803927535987,-59.6256383002693
1.45976078353782,-6.22335097212483,-59.9069438773506
1.46533767534842,-6.30295386881014,-60.1938945183028
1.47015939239943,-6.37678368007306,-60.4646647972417
1.47492816403652,-6.43998785025877,-60.7181790742039
1.48031483131807,-6.52294297041839,-60.9724744024413
1.48497397389336,-6.60325214180712,-61.2418311267113
1.49023821388572,-6.68177845171682,-61.639042234466
1.49479265468669,-6.70346552718256,-61.7515581841172
1.4999399087982,-6.84721181199181,-61.9757464497097
1.50502687157725,-6.91783603797695,-62.2497143349924
1.51005493910781,-7.01352066519357,-62.4971839971928
1.51502545953752,-7.08147484589602,-62.7608333263211
1.51993973524747,-7.13104863069618,-63.0526836538032
1.52479902490058,-7.21532029086271,-63.181324530624
1.53020151383074,-7.31753411238725,-63.5324273114874
1.5349479488552,-7.39634571458231,-63.6983476833351
1.54022640726599,-7.4709596994917,-64.0247623547965
1.5448651107184,-7.52495530761074,-64.2879240144753
1.5500251058573,-7.60014799759999,-64.540711935342
1.55512451256866,-7.68088050282928,-64.7994818081496
1.56016473720818,-7.75776748782222,-64.9843254088697
1.56514713772712,-7.84982838294699,-65.2413257035265
1.57007302586843,-7.92520417940845,-65.5185191265874
1.57494366923977,-7.99965222332368,-65.7414518047815
1.57976029327156,-8.11213427778857,-65.7780513066196
1.58505018183808,-8.1834904095923,-66.1149729708182
1.5897566100013,-8.34670260438206,-66.3464651714577
1.59492684346739,-8.38752840689161,-66.5364248709269
1.60003624924587,-8.41146945670356,-66.923754144733
1.60508624198251,-8.4978736993424,-67.129750797379
1.61007818754001,-8.60089067570521,-67.1154725617929
1.61501340521553,-8.68606859628773,-67.5277647626637
1.61989316983361,-8.75828221781524,-67.4983841024297
1.62519833219451,-8.8563915648618,-67.8743205081427
1.62996560818555,-8.91669454173025,-68.2020746095374
1.6351498686622,-9.00359147260445,-68.4726417790882
1.63980972540548,-9.09262137407623,-68.336737020231
1.64487847185577,-9.21791332654499,-68.559876687364
1.64988874168836,-9.27060839219983,-69.0387378043014
1.65484186878394,-9.34150329369912,-69.3558805957698
1.66018162230465,-9.42617661604537,-69.5757226166548
1.66501938301308,-9.51811923656871,-69.3919541442971
1.6698038473267,-9.61232568775212,-69.8912825417222
1.6749638424656,-9.69204541648552,-70.1700492449439
1.68006324917696,-9.77610324386026,-70.4170467330517
1.68510347381648,-9.86698835174844,-70.1161997598913
1.69008587433542,-9.98172992358673,-70.3257195661288
1.69501176247673,-10.0496286451171,-70.5523962441806
1.69988240584807,-10.1637535947768,-70.7000918264829
1.70509801427348,-10.2316926678488,-70.9068173135547
1.70985745348945,-10.3058446127488,-71.0813883854689
1.71495532535541,-10.4301575647466,-71.1814301875824
1.71999405056381,-10.55767960613,-71.8386171023309
1.72497498585417,-10.5411577081903,-71.6877556553379
1.7298994418124,-10.6798818413298,-71.7480400966889
1.73514099056307,-10.7800850746574,-71.9397728039652
1.73995214182383,-10.8585046383392,-72.0567366114183
1.74507446131105,-10.9304290313065,-72.3588386182047
1.75013706880281,-11.0250385034698,-72.4691390458803
1.75514134042424,-11.1288935853891,-72.5688459976984
1.7600886052705,-11.2228226524136,-72.800080257994
